SUMLEV,STATE,NAME,SEX,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
40,72,Puerto Rico Commonwealth,0,0,45231,45231,44340,41656
40,72,Puerto Rico Commonwealth,0,1,43448,43448,43805,43990
40,72,Puerto Rico Commonwealth,0,2,44172,44172,43886,43377
40,72,Puerto Rico Commonwealth,0,3,45552,45552,45107,43481
40,72,Puerto Rico Commonwealth,0,4,46353,46353,46057,44723
40,72,Puerto Rico Commonwealth,0,5,46730,46730,46545,45692
40,72,Puerto Rico Commonwealth,0,6,45780,45780,45931,46200
40,72,Puerto Rico Commonwealth,0,7,46608,46608,46320,45605
40,72,Puerto Rico Commonwealth,0,8,48340,48340,47830,46009
40,72,Puerto Rico Commonwealth,0,9,52546,52546,51423,47532
40,72,Puerto Rico Commonwealth,0,10,53810,53810,53423,51131
40,72,Puerto Rico Commonwealth,0,11,50865,50865,51524,53122
40,72,Puerto Rico Commonwealth,0,12,54239,54239,53318,51201
40,72,Puerto Rico Commonwealth,0,13,54419,54419,54284,52961
40,72,Puerto Rico Commonwealth,0,14,55238,55238,54934,53883
40,72,Puerto Rico Commonwealth,0,15,56421,56421,56011,54471
40,72,Puerto Rico Commonwealth,0,16,56797,56797,56572,55484
40,72,Puerto Rico Commonwealth,0,17,56746,56746,56610,55976
40,72,Puerto Rico Commonwealth,0,18,56508,56508,56402,55947
40,72,Puerto Rico Commonwealth,0,19,57787,57787,57289,55683
40,72,Puerto Rico Commonwealth,0,20,58205,58205,57907,56513
40,72,Puerto Rico Commonwealth,0,21,53104,53104,54169,57079
40,72,Puerto Rico Commonwealth,0,22,51426,51426,51632,53317
40,72,Puerto Rico Commonwealth,0,23,49734,49734,49940,50763
40,72,Puerto Rico Commonwealth,0,24,48381,48381,48499,49060
40,72,Puerto Rico Commonwealth,0,25,47898,47898,47797,47610
40,72,Puerto Rico Commonwealth,0,26,47430,47430,47325,46909
40,72,Puerto Rico Commonwealth,0,27,48710,48710,48172,46448
40,72,Puerto Rico Commonwealth,0,28,49673,49673,49219,47311
40,72,Puerto Rico Commonwealth,0,29,50448,50448,50046,48384
40,72,Puerto Rico Commonwealth,0,30,52456,52456,51757,49253
40,72,Puerto Rico Commonwealth,0,31,48057,48057,48967,51009
40,72,Puerto Rico Commonwealth,0,32,50181,50181,49477,48266
40,72,Puerto Rico Commonwealth,0,33,49068,49068,49182,48818
40,72,Puerto Rico Commonwealth,0,34,48411,48411,48420,48562
40,72,Puerto Rico Commonwealth,0,35,48506,48506,48340,47853
40,72,Puerto Rico Commonwealth,0,36,46930,46930,47194,47820
40,72,Puerto Rico Commonwealth,0,37,47091,47091,46930,46710
40,72,Puerto Rico Commonwealth,0,38,48767,48767,48236,46478
40,72,Puerto Rico Commonwealth,0,39,49976,49976,49569,47808
40,72,Puerto Rico Commonwealth,0,40,49378,49378,49423,49155
40,72,Puerto Rico Commonwealth,0,41,46709,46709,47274,49022
40,72,Puerto Rico Commonwealth,0,42,47147,47147,46943,46890
40,72,Puerto Rico Commonwealth,0,43,48576,48576,48128,46573
40,72,Puerto Rico Commonwealth,0,44,50448,50448,49891,47770
40,72,Puerto Rico Commonwealth,0,45,50839,50839,50653,49539
40,72,Puerto Rico Commonwealth,0,46,50041,50041,50155,50310
40,72,Puerto Rico Commonwealth,0,47,49446,49446,49512,49824
40,72,Puerto Rico Commonwealth,0,48,48327,48327,48527,49193
40,72,Puerto Rico Commonwealth,0,49,49333,49333,49005,48218
40,72,Puerto Rico Commonwealth,0,50,49879,49879,49665,48692
40,72,Puerto Rico Commonwealth,0,51,47023,47023,47654,49342
40,72,Puerto Rico Commonwealth,0,52,47146,47146,47033,47323
40,72,Puerto Rico Commonwealth,0,53,48079,48079,47761,46686
40,72,Puerto Rico Commonwealth,0,54,47694,47694,47696,47386
40,72,Puerto Rico Commonwealth,0,55,47104,47104,47148,47286
40,72,Puerto Rico Commonwealth,0,56,44977,44977,45394,46697
40,72,Puerto Rico Commonwealth,0,57,44115,44115,44212,44914
40,72,Puerto Rico Commonwealth,0,58,43586,43586,43590,43703
40,72,Puerto Rico Commonwealth,0,59,43825,43825,43631,43050
40,72,Puerto Rico Commonwealth,0,60,45045,45045,44600,43067
40,72,Puerto Rico Commonwealth,0,61,42350,42350,42874,44011
40,72,Puerto Rico Commonwealth,0,62,44583,44583,43876,42268
40,72,Puerto Rico Commonwealth,0,63,44103,44103,44061,43229
40,72,Puerto Rico Commonwealth,0,64,41996,41996,42350,43376
40,72,Puerto Rico Commonwealth,0,65,38755,38755,39393,41663
40,72,Puerto Rico Commonwealth,0,66,36567,36567,36942,38707
40,72,Puerto Rico Commonwealth,0,67,35507,35507,35599,36252
40,72,Puerto Rico Commonwealth,0,68,33580,33580,33884,34893
