"SmokingStatusGuid","Description","NISTcode"
"E86CA3A8-E35B-4BBF-80E2-0375AB4A1460","Current status unknown",9
"1F3BFBBF-AB76-481B-B1E0-08A3689A54BC","Not a current tobacco user",0
"C12C2DB7-D31A-4514-88C0-42CBD339F764","0 cigarettes per day (previous smoker)",3
"FA2B7AE4-4D14-4768-A8C7-55B5F0CDF4AF","Few (1-3) cigarettes per day",2
"0815F240-3DD3-43C6-8618-613CA9E41F9F","Current status unknown",5
"02116D5A-F26C-4A48-9A11-75AC21BC4FD3","2 or more packs per day",1
"DD01E545-D7AF-4F00-B248-9FD40010D81D","Up to 1 pack per day",1
"FCD437AA-0451-4D8A-9396-B6F19D8B25E8","1-2 packs per day",1
"5ABBAB35-836F-4F3E-8632-CE063828DA15","0 cigarettes per day (non-smoker or less than 100 in lifetime)",4
"2548BD83-03AE-4287-A578-FA170F39E32F","Current Tobacco user",0
